UTF-8
अँकाइ|1
(ना)|आँक्ने तथाअाँट गर्ने काम वा ढङ्ग|हिम्मत|आँट
अँगार|1
(ना)|काठ दाउरा आदि पोलेको तर खरानी भई नसकेको बाँकी कालो भाग|कोइला|गोल
अँगारे|1
(वि)|ज्यादै कालो|अँगार जस्तो कालो
अँगालो|2
(वि)|दुबै हात फैलाउँदा अट्ने वस्तु वा त्यसको परिमाण|
(टु.)|आत्मीयता देखाउन दुबै हात फैलाई कसैसँग छाती र गला मिलाउनु|अङ्कमाल गर्नु|आलिङ्गन गर्नु
अँगाल्नु|2
(सक्रि)|दुबै हात फैलाएर च्याप्नु|अँगालोमा लिनु
(सक्रि)|स्विकार्नु|अपनाउनु
अँचेटाइ|1
(ना)|अचेट्ने काम वा ढङ्ग
अँचेट्नु|1
(सक्रि)|दबाब दिएर ठेल्नु|लचिलो वस्तुलाई थिच्नु
अँजुली|1
(ना)|दुबै हत्केला जोडेर औंलाहरूको माथिल्लो भागतिर कुप्रो पार्दा बन्ने धाल्डो|अँजुलीभित्र अट्ने परिमाण वा मात्रा
अँठिनु|1
(अक्रि)|अँठ्याएको हुनु|समातिनु
अँठ्याउनु|1
(सक्रि)|जोडले समात्नु|पक्रनु|पक्डनु
अँधेर|1
(वि)|अँध्यारो
अँधेरी|1
(वि)|अँध्यारो
अँधेरो|1
(ना/वि)|चमक नभएको|अँध्यारो|मलिन
अँध्यारो|1
(ना/वि)|अन्धकार|अँधरो|मलिन|धमिलो
अँवल|1
(ना)|अमल
अंश|4
(ना)|टुक्रा|खण्ड|भाग|मात्रा
(ना)|लगानीको खास प्रतिशत वा भाग
(ना)|अङ्कको खास भाग|भिन्नांश
(ना)|आफ्नो भागमा परेको सम्पत्ति|भागबन्दा
अंशबन्डा|1
(ना)|दाजुभाइहरूका बीच गरिने पुर्ख्यौली सम्पत्तिको बाँडफाँड|भागबन्डा
अंशभागी|1
(ना/वि)|अंश पाउने व्यक्ति|अंशको हकदार|अम्सियार
अंशावतार|1
(ना)|पौराणिक विशवासअमुसार ईश्वरको अंश वा केहि गुण लिएर जन्मेको व्यक्ति वा महापुरुष
अंसियार|1
(ना/वि)|अम्सियार
अऋणी|1
(वि)|ऋण नभएको|रिनविनाको|ऋणबाट मुक्त भएको|ऋणमुक्त
अकडिनु|1
(अक्रि)|अप्ठेरो बन्नु|टेढिनु
अकडो|1
(वि)|अडमिल्दो|टेढो|अडबाङ्गो
अकथनीय|1
(वि)|भन्न नहुने वा भन्न नमिल्ने
अकथ्य|1
(वि)|अकथनीय
अकबरी|1
(वि)|उत्तम|उत्कृष्ट
अकबरे|1
(ना)|रातो रङको डल्लो आदारको ज्यादै पिरो जातको खुर्सानी
अकमकाउनु|1
(अक्रि)|अलमलमा पर्नु|नाजवाफ हुनु
अकमक्क|1
(वि)|अलमल्ल|जिल्ल|नाजबाफ
अकरण|1
(ना)|निषेध अर्थ जनाउने क्रियापदको रूप|निषेधार्थी क्रियाापद
अकर्मक|1
(ना)|कर्म नलिने वा मा प्रयोग गर्दा कत्मको आवश्यकता नपर्ने क्रिया वा धातु
अकर्मण्य|1
(वि)|काम नगरी समय धेर फाल्ने|निष्क्रिय|बिक्ममा|निकम्मा
अकर्मण्यता|1
(ना)|निष्क्रियता|निकम्मापन
अकल्पनीय|1
(वि)|सोचदै नसोचेको|कल्पना गर्न नसकिने|अशोचनीय
अकलुषित|1
(वि)|खराब नणएको|अदूषित|अकलङ्कित|पवित्र
अकस्मात्|1
(क्रियो)|अचानक|अचानक|एक्कासि|एकाएक
अकल्पित|1
(वि)|क्लपना नगरेको|नसोचेको
अकल्याण|1
(ना)|अहित|कुभलो
अकल्याणकारी|1
(वि)|अर्काको कुभलो हुने|अहित गर्ने
अकाट्य|1
(वि)|खण्डन गर्ने नसकिने|तर्कद्वारा दाट्न नसकिने
अकार|1
