;Integer;;;Thousand separator;;;Fraction;;;Fraction + Thousand separator;;;Scientific;;;Engineering;;
Format;"""format=""000000";"""format=""??????";"""format=""??0000";"""format=""000,000";"""format=""???,???";"""format=""??0,000";"""format=""000 ?/?";"""format=""??? ?/?";"""format=""?00 ?/?";"""format=""0,000 ?/?";"""format=""?,??? ?/?";"""format=""?,?00 ?/?";"""format=""0.000E+00";"""format=""?.###E+00";"""format=""?.0##E+00";"""format=""000E+00";"""format=""???E+00";"""format=""?00E+00"
0.123456;format=000000;format=      ;format=  0000;format=000,000;format=       ;format=  0,000;format=000 1/8;format=    1/8;format= 00 1/8;format=0,000 1/8;format=      1/8;format=   00 1/8;format=1.235E-01;format=1.235E-01;format=1.235E-01;format=123E-03;format=123E-03;format=123E-03
1.23456;format=000001;format=     1;format=  0001;format=000,001;format=      1;format=  0,001;format=001 2/9;format=  1 2/9;format= 01 2/9;format=0,001 2/9;format=    1 2/9;format=   01 2/9;format=1.235E+00;format=1.235E+00;format=1.235E+00;format=001E+00;format=  1E+00;format= 01E+00
12.3456;format=000012;format=    12;format=  0012;format=000,012;format=     12;format=  0,012;format=012 1/3;format= 12 1/3;format= 12 1/3;format=0,012 1/3;format=   12 1/3;format=   12 1/3;format=1.235E+01;format=1.235E+01;format=1.235E+01;format=012E+00;format= 12E+00;format= 12E+00
123.456;format=000123;format=   123;format=  0123;format=000,123;format=    123;format=  0,123;format=123 4/9;format=123 4/9;format=123 4/9;format=0,123 4/9;format=  123 4/9;format=  123 4/9;format=1.235E+02;format=1.235E+02;format=1.235E+02;format=123E+00;format=123E+00;format=123E+00
1234.56;format=001235;format=  1235;format=  1235;format=001,235;format=  1,235;format=  1,235;format=1234 5/9;format=1234 5/9;format=1234 5/9;format=1,234 5/9;format=1,234 5/9;format=1,234 5/9;format=1.235E+03;format=1.235E+03;format=1.235E+03;format=001E+03;format=  1E+03;format= 01E+03
12345.6;format=012346;format= 12346;format= 12346;format=012,346;format= 12,346;format= 12,346;format=12345 3/5;format=12345 3/5;format=12345 3/5;format=12,345 3/5;format=12,345 3/5;format=12,345 3/5;format=1.235E+04;format=1.235E+04;format=1.235E+04;format=012E+03;format= 12E+03;format= 12E+03
123456;format=123456;format=123456;format=123456;format=123,456;format=123,456;format=123,456;format=123456    ;format=123456    ;format=123456    ;format=123,456    ;format=123,456    ;format=123,456    ;format=1.235E+05;format=1.235E+05;format=1.235E+05;format=123E+03;format=123E+03;format=123E+03
1234560;format=1234560;format=1234560;format=1234560;format=1,234,560;format=1,234,560;format=1,234,560;format=1234560    ;format=1234560    ;format=1234560    ;format=1,234,560    ;format=1,234,560    ;format=1,234,560    ;format=1.235E+06;format=1.235E+06;format=1.235E+06;format=001E+06;format=  1E+06;format= 01E+06
12345600;format=12345600;format=12345600;format=12345600;format=12,345,600;format=12,345,600;format=12,345,600;format=12345600    ;format=12345600    ;format=12345600    ;format=12,345,600    ;format=12,345,600    ;format=12,345,600    ;format=1.235E+07;format=1.235E+07;format=1.235E+07;format=012E+06;format= 12E+06;format= 12E+06
-0.123456;format=000000;format=      ;format=  0000;format=000,000;format=       ;format=  0,000;-format=000 1/8;-format=    1/8;-format= 00 1/8;-format=0,000 1/8;-format=      1/8;-format=   00 1/8;-format=1.235E-01;-format=1.235E-01;-format=1.235E-01;-format=123E-03;-format=123E-03;-format=123E-03
-1.23456;-format=000001;-format=     1;-format=  0001;-format=000,001;-format=      1;-format=  0,001;-format=001 2/9;-format=  1 2/9;-format= 01 2/9;-format=0,001 2/9;-format=    1 2/9;-format=   01 2/9;-format=1.235E+00;-format=1.235E+00;-format=1.235E+00;-format=001E+00;-format=  1E+00;-format= 01E+00
-12.3456;-format=000012;-format=    12;-format=  0012;-format=000,012;-format=     12;-format=  0,012;-format=012 1/3;-format= 12 1/3;-format= 12 1/3;-format=0,012 1/3;-format=   12 1/3;-format=   12 1/3;-format=1.235E+01;-format=1.235E+01;-format=1.235E+01;-format=012E+00;-format= 12E+00;-format= 12E+00
-123.456;-format=000123;-format=   123;-format=  0123;-format=000,123;-format=    123;-format=  0,123;-format=123 4/9;-format=123 4/9;-format=123 4/9;-format=0,123 4/9;-format=  123 4/9;-format=  123 4/9;-format=1.235E+02;-format=1.235E+02;-format=1.235E+02;-format=123E+00;-format=123E+00;-format=123E+00
-1234.56;-format=001235;-format=  1235;-format=  1235;-format=001,235;-format=  1,235;-format=  1,235;-format=1234 5/9;-format=1234 5/9;-format=1234 5/9;-format=1,234 5/9;-format=1,234 5/9;-format=1,234 5/9;-format=1.235E+03;-format=1.235E+03;-format=1.235E+03;-format=001E+03;-format=  1E+03;-format= 01E+03
-12345.6;-format=012346;-format= 12346;-format= 12346;-format=012,346;-format= 12,346;-format= 12,346;-format=12345 3/5;-format=12345 3/5;-format=12345 3/5;-format=12,345 3/5;-format=12,345 3/5;-format=12,345 3/5;-format=1.235E+04;-format=1.235E+04;-format=1.235E+04;-format=012E+03;-format= 12E+03;-format= 12E+03
-123456;-format=123456;-format=123456;-format=123456;-format=123,456;-format=123,456;-format=123,456;-format=123456    ;-format=123456    ;-format=123456    ;-format=123,456    ;-format=123,456    ;-format=123,456    ;-format=1.235E+05;-format=1.235E+05;-format=1.235E+05;-format=123E+03;-format=123E+03;-format=123E+03
-1234560;-format=1234560;-format=1234560;-format=1234560;-format=1,234,560;-format=1,234,560;-format=1,234,560;-format=1234560    ;-format=1234560    ;-format=1234560    ;-format=1,234,560    ;-format=1,234,560    ;-format=1,234,560    ;-format=1.235E+06;-format=1.235E+06;-format=1.235E+06;-format=001E+06;-format=  1E+06;-format= 01E+06
-12345600;-format=12345600;-format=12345600;-format=12345600;-format=12,345,600;-format=12,345,600;-format=12,345,600;-format=12345600    ;-format=12345600    ;-format=12345600    ;-format=12,345,600    ;-format=12,345,600    ;-format=12,345,600    ;-format=1.235E+07;-format=1.235E+07;-format=1.235E+07;-format=012E+06;-format= 12E+06;-format= 12E+06
0.2;format=000000;format=      ;format=  0000;format=000,000;format=       ;format=  0,000;format=000 1/5;format=    1/5;format= 00 1/5;format=0,000 1/5;format=      1/5;format=   00 1/5;format=2.000E-01;format=2E-01;format=2.0E-01;format=200E-03;format=200E-03;format=200E-03
2;format=000002;format=     2;format=  0002;format=000,002;format=      2;format=  0,002;format=002    ;format=  2    ;format= 02    ;format=0,002    ;format=    2    ;format=   02    ;format=2.000E+00;format=2E+00;format=2.0E+00;format=002E+00;format=  2E+00;format= 02E+00
20;format=000020;format=    20;format=  0020;format=000,020;format=     20;format=  0,020;format=020    ;format= 20    ;format= 20    ;format=0,020    ;format=   20    ;format=   20    ;format=2.000E+01;format=2E+01;format=2.0E+01;format=020E+00;format= 20E+00;format= 20E+00
200;format=000200;format=   200;format=  0200;format=000,200;format=    200;format=  0,200;format=200    ;format=200    ;format=200    ;format=0,200    ;format=  200    ;format=  200    ;format=2.000E+02;format=2E+02;format=2.0E+02;format=200E+00;format=200E+00;format=200E+00
2000;format=002000;format=  2000;format=  2000;format=002,000;format=  2,000;format=  2,000;format=2000    ;format=2000    ;format=2000    ;format=2,000    ;format=2,000    ;format=2,000    ;format=2.000E+03;format=2E+03;format=2.0E+03;format=002E+03;format=  2E+03;format= 02E+03
20000;format=020000;format= 20000;format= 20000;format=020,000;format= 20,000;format= 20,000;format=20000    ;format=20000    ;format=20000    ;format=20,000    ;format=20,000    ;format=20,000    ;format=2.000E+04;format=2E+04;format=2.0E+04;format=020E+03;format= 20E+03;format= 20E+03
200000;format=200000;format=200000;format=200000;format=200,000;format=200,000;format=200,000;format=200000    ;format=200000    ;format=200000    ;format=200,000    ;format=200,000    ;format=200,000    ;format=2.000E+05;format=2E+05;format=2.0E+05;format=200E+03;format=200E+03;format=200E+03
2000000;format=2000000;format=2000000;format=2000000;format=2,000,000;format=2,000,000;format=2,000,000;format=2000000    ;format=2000000    ;format=2000000    ;format=2,000,000    ;format=2,000,000    ;format=2,000,000    ;format=2.000E+06;format=2E+06;format=2.0E+06;format=002E+06;format=  2E+06;format= 02E+06
20000000;format=20000000;format=20000000;format=20000000;format=20,000,000;format=20,000,000;format=20,000,000;format=20000000    ;format=20000000    ;format=20000000    ;format=20,000,000    ;format=20,000,000    ;format=20,000,000    ;format=2.000E+07;format=2E+07;format=2.0E+07;format=020E+06;format= 20E+06;format= 20E+06
200000000;format=200000000;format=200000000;format=200000000;format=200,000,000;format=200,000,000;format=200,000,000;format=200000000    ;format=200000000    ;format=200000000    ;format=200,000,000    ;format=200,000,000    ;format=200,000,000    ;format=2.000E+08;format=2E+08;format=2.0E+08;format=200E+06;format=200E+06;format=200E+06
;;;;;;;;;;;;;;;;;;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
