fileAlias;fileURL;defaultFileType;streamFileType
#**************************************************************
#** N O T E
#**
#** The detection for template filter amd wirter_text_encoded
#** will be chenged on following childworkspsace
#**
#**************************************************************
###################################
# W R I T E R   D O C U M E N T S
#################################
rtf1;Writer/AoE2a.rtf;writer_Rich_Text_Format;writer_Rich_Text_Format;writer_Rich_Text_Format
text1;Writer/Text_DOS.txt;generic_Text;generic_Text
Word2000_document;Writer/Word2000.doc;writer_MS_Word_97;writer_MS_Word_97
Word2000_template;Writer/Word2000_template.dot;writer_MS_Word_97_Vorlage;writer_MS_Word_97_Vorlage
Word6_document;Writer/Word6.doc;writer_MS_WinWord_60;writer_MS_WinWord_60
Word6_template;Writer/Word6_template.dot;writer_MS_Word_95_Vorlage;writer_MS_Word_95_Vorlage
Word95_document;Writer/Word95.doc;writer_MS_WinWord_60;writer_MS_WinWord_60
Word97_document;Writer/Word97.doc;writer_MS_Word_97;writer_MS_Word_97
Word97_template;Writer/Word97_template.dot;writer_MS_Word_97_Vorlage;writer_MS_Word_97_Vorlage
WordXP_document;Writer/WordXP.doc;writer_MS_Word_97;writer_MS_Word_97
WordXP_template;Writer/WordXP_template.dot;writer_MS_Word_97_Vorlage;writer_MS_Word_97_Vorlage
Writer3_document;Writer/Writer3.sdw;writer_StarWriter_30;writer_StarWriter_30_VorlageTemplate
Writer3_template;Writer/Writer3_template.vor;writer_StarWriter_30_VorlageTemplate;writer_StarWriter_30_VorlageTemplate
Writer4_document;Writer/Writer4.sdw;writer_StarWriter_40;writer_StarWriter_40_VorlageTemplate
Writer4_template;Writer/Writer4_template.vor;writer_StarWriter_40_VorlageTemplate;writer_StarWriter_40_VorlageTemplate
Writer5_document;Writer/Writer5.sdw;writer_StarWriter_50;writer_StarWriter_50_VorlageTemplate
Writer5_template;Writer/Writer5_template.vor;writer_StarWriter_50_VorlageTemplate;writer_StarWriter_50_VorlageTemplate
Writer6_document;Writer/Writer6.sxw;writer_StarOffice_XML_Writer;writer_StarOffice_XML_Writer
Writer6_template;Writer/Writer6_template.stw;writer_StarOffice_XML_Writer_Template;writer_StarOffice_XML_Writer
Writer6_html;Writer/WriterWeb.html;generic_HTML;generic_HTML
ApiPro3;Writer/AmiPro_3x.sam;generic_Text;generic_Text
Applix;Writer/Applix.aw;generic_Text;generic_Text
Text2;Writer/Counterstrike I.txt;generic_Text;generic_Text
FrameMake_document;Writer/FrameMaker.mif;generic_Text;generic_Text
WordPro_Hangul;Writer/HangulWordPro.hwp;generic_Text;generic_Text
Ichitaro;Writer/Ichitaro.jtd;writer_JustSystem_Ichitaro_10;writer_JustSystem_Ichitaro_10
MacWord5_document;Writer/MacWord_5.mcw;generic_Text;generic_Text
rtf2;Writer/RTF.rtf;writer_Rich_Text_Format;writer_Rich_Text_Format
wps2000_document;Writer/WPS_2000.wps;writer_WPSSystem_WPS2000_10;writer_WPSSystem_WPS2000_10
WinWord2_document;Writer/WinWord_2x.doc;generic_Text;generic_Text
WinWord6_95_document;Writer/WinWord_6_95.doc;writer_MS_WinWord_60;writer_MS_WinWord_60
WinWord97_2000_XP_document;Writer/Winword_97_2000_xp.doc;writer_MS_Word_97;writer_MS_Word_97
WordPerfect;Writer/WordPerfect.wpd;generic_Text;generic_Text
csv2;Writer/Text_CSV.txt;generic_Text;generic_Text
###################################
# C A L C   D O C U M E N T S
##################################
csv1;Calc/Text_CSV.csv;generic_Text;generic_Text
Calc1;Calc/Calc1.SDC;calc_StarCalc_10;calc_StarCalc_10
Calc2_document;Calc/Calc3.SDC;calc_StarCalc_30_VorlageTemplate;calc_StarCalc_30
Calc2_template;Calc/Calc3.vor;calc_StarCalc_30;calc_StarCalc_30
Calc4_document;Calc/Calc4.sdc;calc_StarCalc_40;calc_StarCalc_40
Calc4_template;Calc/Calc4.vor;calc_StarCalc_40_VorlageTemplate;calc_StarCalc_40
Calc5_document;Calc/Calc5.sdc;calc_StarCalc_50;calc_StarCalc_50
Calc5_template;Calc/Calc5.vor;calc_StarCalc_50_VorlageTemplate;calc_StarCalc_50
Calc6_document;Calc/Calc_6.stc;calc_StarOffice_XML_Calc;calc_StarOffice_XML_Calc
Calc6_template;Calc/Calc_6.sxc;calc_StarOffice_XML_Calc_Template;calc_StarOffice_XML_Calc
dif;Calc/DIF.DIF;calc_DIF;generic_Text
Excel2;Calc/Excel2.XLS;calc_MS_Excel_40;calc_MS_Excel_40
Excel3;Calc/Excel3.XLS;calc_MS_Excel_40;calc_MS_Excel_40
Excel4_document;Calc/Excel4.XLS;calc_MS_Excel_40;calc_MS_Excel_40
Excel4_template;Calc/Excel4.XLT;calc_MS_Excel_40_VorlageTemplate;calc_MS_Excel_40
Exel95_document;Calc/Excel5_95.XLS;calc_MS_Excel_5095;calc_MS_Excel_5095
Exel95_template;Calc/Excel5_template.XLT;calc_MS_Excel_5095;calc_MS_Excel_5095
Excel97_document;Calc/Excel97_2000_XP.xls;calc_MS_Excel_97;calc_MS_Excel_97
#Excel97_1dummy;Calc/Excel97_2000_XP.dummy;calc_MS_Excel_97;calc_MS_Excel_97
Excel97_template;Calc/Excel97_2000_XP.xlt;calc_MS_Excel_97;calc_MS_Excel_97
Calc_html;Calc/HTML_Calc.html;generic_HTML;generic_HTML
Calc_rtf;Calc/RTF_StarOffice_Calc.rtf;writer_Rich_Text_Format;writer_Rich_Text_Format
slk;Calc/SYLK.SLK;calc_SYLK;generic_Text
Webpagequery;Calc/Webpagequery.html;generic_HTML;generic_HTML
dbase;Calc/dbase.DBF;calc_dBase;generic_Text
######################################################
# D R A W
######################################################
draw6_document;Draw/draw1.sxd;draw_StarOffice_XML_Draw;draw_StarOffice_XML_Draw
draw6_template;Draw/draw2.std;draw_StarOffice_XML_Draw_Template;draw_StarOffice_XML_Draw
draw5_document;Draw/draw3.sda;draw_StarDraw_50;draw_StarDraw_50_Vorlage
draw5_template;Draw/draw4.vor;draw_StarDraw_50_Vorlage;draw_StarDraw_50_Vorlage
draw3_document;Draw/draw5.sdd;draw_StarDraw_30;draw_StarDraw_30
draw3_template;Draw/draw6.vor;draw_StarDraw_30;draw_StarDraw_30
######################################################
# I M P R E S S
######################################################
Impress6_document;Impress/imp1.sxi;impress_StarOffice_XML_Impress;impress_StarOffice_XML_Impress
Impress4_document;Impress/imp10.sdd;impress_StarImpress_40;impress_StarImpress_40
Impress4_template;Impress/imp11.vor;iimpress_StarImpress_40_Vorlage;impress_StarImpress_40
Impress6_template;Impress/imp2.sti;impress_StarOffice_XML_Impress_Template;impress_StarOffice_XML_Impress
PowerPoint97_document;Impress/imp3.ppt;impress_MS_PowerPoint_97;impress_MS_PowerPoint_97
PowerPoint97_template;Impress/imp4.pot;impress_MS_PowerPoint_97_Vorlage;impress_MS_PowerPoint_97
DrawImpress6_document;Impress/imp5.sxd;draw_StarOffice_XML_Draw;draw_StarOffice_XML_Draw
DrawImpress5_document;Impress/imp6.sda;draw_StarDraw_50;draw_StarDraw_50_Vorlage
DrawImpress3_document;Impress/imp7.sdd;draw_StarDraw_30;draw_StarDraw_30
Impress5_document;Impress/imp8.sdd;impress_StarImpress_50;impress_StarImpress_50
Impress5_template;Impress/imp9.vor;impress_StarImpress_50_Vorlage;impress_StarImpress_50
#######################################################
# G R A P H I C S
######################################################
bitmap;Graphics/pic.bmp;bmp_MS_Windows;bmp_MS_Windows
emf;Graphics/pic.emf;emf_MS_Windows_Metafile;emf_MS_Windows_Metafile:generic_Text
eps;Graphics/pic.eps;eps_Encapsulated_PostScript;eps_Encapsulated_PostScript
gif;Graphics/pic.gif;gif_Graphics_Interchange;gif_Graphics_Interchange
jpg;Graphics/pic.jpg;jpg_JPEG;jpg_JPEG
met;Graphics/pic.met;met_OS2_Metafile;met_OS2_Metafile:generic_Text
pbm;Graphics/pic.pbm;pbm_Portable_Bitmap;pbm_Portable_Bitmap
pict;Graphics/pic.pict;pict_QuickDraw_Picture;pict_QuickDraw_Picture
pgm;Graphics/pic.pgm;pgm_Portable_Graymap;pgm_Portable_Graymap
png;Graphics/pic.png;png_Portable_Network_Graphic;png_Portable_Network_Graphic
ppm;Graphics/pic.ppm;ppm_Portable_Pixelmap;ppm_Portable_Pixelmap
ras;Graphics/pic.ras;ras_Sun_Rasterfile;ras_Sun_Rasterfile
svm;Graphics/pic.svm;svm_StarView_Metafile;svm_StarView_Metafile:generic_Text
tif;Graphics/pic.tif;tif_Tag_Image_File;tif_Tag_Image_File:generic_Text
wmf;Graphics/pic.wmf;wmf_MS_Windows_Metafile;wmf_MS_Windows_Metafile:generic_Text


